Award Name,Level Of Study,Award Type,Award Amount,Deadline
"Marvin Mundel Memorial Scholarship
                                            


                                            Organization:
                                             Institute of Industrial and Systems Engineers 


                                            Purposes: To support the education of industrial engineering students for academic excellence and campus leadership.",Bachelor's Degree,Scholarship,"$1,000",November
"MAES General Scholarships
                                            


                                            Organization:
                                             MAES: Latinos in Science and Engineering 


                                            Purposes: To increase the number of Latino students completing their higher education goals.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000  $2,000",March
"Myrtle and Earl Walker Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To assist undergraduate students pursuing degrees in manufacturing engineering or related fields.",Bachelor's Degree,Prize,N/A,February
"SME Future Leaders of Manufacturing Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To support students pursuing degrees in manufacturing engineering, engineering technology, industrial technology, technical or related engineering fields.",Bachelor's Degree  Graduate Degree,Scholarship,N/A,February
"SME Education Foundation Family Scholarships
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To support the children or grandchildren of SME members who are pursuing degrees in manufacturing engineering, manufacturing engineering technology, or closely related engineering fields of study.",Bachelor's Degree,Scholarship,"$20,000  $40,000",February
"SME Education Foundation Family Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To assist students pursuing careers in manufacturing engineering or related fields.",Bachelor's Degree,Prize,"$20,000  $40,000",
"Albert E. Wischmeyer Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To provide assistance to students who are pursuing manufacturing engineering.",Bachelor's Degree,Scholarship,N/A,February
"SME Directors Scholarships
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To support SME members pursuing undergraduate degrees in manufacturing or closely related fields of study in the United States or Canada.",Bachelor's Degree,Scholarship,N/A,February
"William E. Weisel Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To support students pursuing engineering or technology programs in the United States or Canada.",Bachelor's Degree,Scholarship,N/A,February
"North Central Region 9 Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To support students pursuing degrees in manufacturing, mechanical, or industrial engineering, or industrial technology.",Associate Degree  Bachelor's Degree,Scholarship,N/A,February
"E. Wayne Kay Co-Op Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To support students pursuing studies in a manufacturing engineering or technology degree program in the United States or Canada.",Bachelor's Degree,Scholarship,N/A,February
"Chapter 56 - Ft. Wayne Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To provide assistance to students seeking degrees in manufacturing, mechanical, or industrial engineering, engineering technology, or industrial technology at an accredited public or private college or university located in the state of Indiana.",Associate Degree  Bachelor's Degree  Graduate Degree  Vocational,Scholarship,N/A,February
"Chapter 93 - Albuquerque Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To provide assistance to students pursuing degrees in manufacturing engineering or related field at a New Mexico college or university.",Bachelor's Degree,Scholarship,N/A,February
"Chapter 79/198/311 Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To provide assistance to students seeking degrees in technology, engineering, mathematics, or manufacturing.",Associate Degree  Bachelor's Degree  Graduate Degree  Vocational,Scholarship,N/A,February
"Chapter 63 - Smith Memorial Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To support students seeking degrees in manufacturing engineering or closely related fields.",Bachelor's Degree,Scholarship,N/A,February
"Chapter 1 - Detroit Associate Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To provide assistance to students seeking degrees in manufacturing engineering, manufacturing engineering technology, or a closely related degree or certificate program.",Associate Degree  Bachelor's Degree  Graduate Degree  Vocational,Prize,N/A,February
"Walt Bartram Memorial Education Scholarship
                                            


                                            Organization:
                                             Society of Manufacturing Engineers Education Foundation 


                                            Purposes: To provide assistance to students who are pursuing a manufacturing engineering degree.",Bachelor's Degree,Scholarship,"$1,000  $6,000",February
"A.O. Putnam Memorial Scholarship
                                            


                                            Organization:
                                             Institute of Industrial and Systems Engineers 


                                            Purposes: To support the education of industrial engineering students.",Bachelor's Degree,Scholarship,"$2,500",November
"NPSC Fellowship
                                            


                                            Organization:
                                             Graduate Fellowships for Science, Technology, Engineering, and 


                                            Purposes: To increase the number of American citizens with graduate degrees in the physical sciences and related engineering fields, emphasizing recruitment of a diverse applicant pool.",Graduate Degree,Fellowship,N/A,January
"Associated Staffing Skilled Trades Scholarship
                                            


                                            Organization:
                                             Greater Grand Island Community Foundation 


                                            Purposes: To support local graduates and GED holders pursuing skilled trade degrees.",Associate Degree  Bachelor's Degree  Vocational,Scholarship,N/A,
"Mark Blucher Planning Scholarship
                                            


                                            Organization:
                                             Vermont Student Assistance Corporation 


                                            Purposes: To support students interested in furthering their education in land use planning or a related field.",Bachelor's Degree  Graduate Degree  Professional Development  Vocational,Scholarship,"$1,000",February
"The Christine Mirzayan Science & Technology Policy Graduate
                                            


                                            Organization:
                                             The National Academies of Sciences, Engineering, and Medicine 


                                            Purposes: To engage early career professionals in the analytical processes that informs US science and technology policy.",Graduate Degree  Professional Development,Fellowship,"$9,000",October
"MALSCE Memorial Scholarship
                                            


                                            Organization:
                                             Massachusetts Association of Land Surveyors and Civil Engineers 


                                            Purposes: To provide educational support to the residents of Massachusetts who are studying surveying, civil engineering or environmental engineering programs.",Associate Degree  Bachelor's Degree,Scholarship,"$500  $1,000  $2,000",November
"Larry L. Etherton Scholarships
                                            


                                            Organization:
                                             American Railway Engineering and Maintenance-of-Way Association 


                                            Purposes: To support the continuing education of railway engineering students at the University of Illinois in the Engineering Department at Urbana-Champaign.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,500",December
"John J. Cunningham Memorial Scholarship
                                            


                                            Organization:
                                             American Railway Engineering and Maintenance-of-Way Association 


                                            Purposes: To support the education of student in a professional field that has direct applications in the passenger rail sector.",Bachelor's Degree,Scholarship,"$1,000",December
"UC MEXUS-CONACYT Doctoral Fellowship
                                            


                                            Organization:
                                             Institute for Mexico and the United States  University of California - Riverside 


                                            Purposes: To provide non-resident tuition, fees, a stipend and support towards health insurance.",Graduate Degree,Fellowship,N/A,April
"ISOPE Offshore Mechanics Scholarships for Outstanding Students
                                            


                                            Organization:
                                             International Society of Offshore and Polar Engineers 


                                            Purposes: To provide students the opportunity to engage in research in the field of Offshore Mechanics, Ocean, Arctic, and Related Engineering fields.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000",April
"Local 564 Scholarship
                                            


                                            Organization:
                                             International Union of Operating Engineers - Local 564 


                                            Purposes: To support members' dependent children that are graduating High School Seniors.",Bachelor's Degree,Scholarship,$500,March
"W. Wesley Eckenfelder Graduate Research Award
                                            


                                            Organization:
                                             Association of Environmental Engineering and Science Professors 


                                            Purposes: To recognize an environmental engineering or environmental science graduate student whose research contributes to the knowledge pool of wastewater management.",Graduate Degree,Prize,"$500  $1,500",January
"William Brewster Snow Award
                                            


                                            Organization:
                                             Association of Environmental Engineering and Science Professors 


                                            Purposes: To recognize an environmental engineering graduate student who has made significant accomplishments in an employment or academic engineering project.",Graduate Degree,Prize  Scholarship,$250,January
"Dumbarton Oaks Research Library and Collection Summer Internships
                                            


                                            Organization:
                                             Dumbarton Oaks Research Library and Collection 


                                            Purposes: To support educational expenses of the students in studying Byzantine, Pre-Columbian, or Garden and Landscape Studies.",Bachelor's Degree  Graduate Degree,N/A,$16,February
"Gerald ""The Brick"" Sutherland Scholarship
                                            


                                            Organization:
                                             Coastal Bend Community Foundation 


                                            Purposes: To support local students pursuing trade, technical, vocational, or community college degrees.",Associate Degree  Vocational,Scholarship,N/A,March
"SmithGroup Justice, Equity, Diversity and Inclusion Scholarship Program
                                            


                                            Organization:
                                             SmithGroup 


                                            Purposes: We have created the SmithGroup Justice, Equity, Diversity and Inclusion (JEDI) Scholarship Program to support and mentor students from historically underrepresented demographics in architecture, interior design, planning, landscape architecture and engineering. The programs mission is to provide these students with the opportunity to attain their professional goals while advancing the architecture/engineering/construction (AEC) industry and improving the built environment.This scholarship includes a one-time award of $6,000 to offset the student's tuition at their current academic institution (5 scholarships are awarded each year). Additionally, the scholarship recipients serve as paid summer interns at SmithGroup offices across the United States (internship is a program requirement). Since its inception in 2018, the program has awarded $180,000 to 25 recipients across the United States.",Bachelor's Degree  Graduate Degree,Scholarship,"$6,000",November
"REMSA Scholarships
                                            


                                            Organization:
                                             American Railway Engineering and Maintenance-of-Way Association 


                                            Purposes: To support education for member company employees and their family members in pursuing a higher education or continuing education program.",Bachelor's Degree,Scholarship,N/A,December
"Norfolk Southern Foundation Scholarships
                                            


                                            Organization:
                                             American Railway Engineering and Maintenance-of-Way Association 


                                            Purposes: To support engineering students who are specializing in the railway industry.",Bachelor's Degree,Scholarship,"$1,000",February
"CSX Scholarships
                                            


                                            Organization:
                                             American Railway Engineering and Maintenance-of-Way Association 


                                            Purposes: To support the education of an undergraduate engineering student who has interest in a railway engineering career.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000",December
"Ford Foundation Predoctoral Fellowship
                                            


                                            Organization:
                                             The National Academies of Sciences, Engineering, and Medicine 


                                            Purposes: To provide support for individuals engaged in graduate study leading to a Doctor of Philosophy or Doctor of Science degree.",Graduate Degree,Fellowship,"$24,000",December
"Ford Foundation Dissertation Fellowship
                                            


                                            Organization:
                                             The National Academies of Sciences, Engineering, and Medicine 


                                            Purposes: To individuals committed to a career in teaching and research at the college or university level.",Graduate Degree  Professional Development,Fellowship,"$25,000",January
"Ford Foundation Postdoctoral Fellowship
                                            


                                            Organization:
                                             The National Academies of Sciences, Engineering, and Medicine 


                                            Purposes: To provide fellowship support at the predoctoral, dissertation and postdoctoral levels.",Professional Development,Fellowship,"$45,000",January
"Ford Foundation Diversity Fellowships
                                            


                                            Organization:
                                             The National Academies of Sciences, Engineering, and Medicine 


                                            Purposes: To increase the diversity of the nation's college and university faculties by increasing their ethnic and racial diversity; to maximize educational benefits of diversity; and to increase the number of professors who can and will use diversity as a resource for enriching the education of all students.",N/A,Fellowship,N/A,January
"AREMA William E. and Barbara I. Van Trump Scholarship
                                            


                                            Organization:
                                             American Railway Engineering and Maintenance-of-Way Association 


                                            Purposes: To support the education of female undergraduate engineering students with an interest in railway engineering careers.",Bachelor's Degree,Scholarship,"$1,000",December
"Michael W. and Jean D. Franke Family Foundation Scholarships
                                            


                                            Organization:
                                             American Railway Engineering and Maintenance-of-Way Association 


                                            Purposes: To support the continuing education of engineering students.",Bachelor's Degree  Graduate Degree,Scholarship,"$6,000",December
"Faye & Jim Rasmussen Trade Scholarship
                                            


                                            Organization:
                                             Greater Grand Island Community Foundation 


                                            Purposes: To support students pursuing trade degrees at Central Community College branches.",Associate Degree  Vocational,Scholarship,N/A,
"Michael J. Lineberry Memorial Scholarship
                                            


                                            Organization:
                                             American Nuclear Society 


                                            Purposes: To support graduate students pursuing a degree in Nuclear, Chemical, Electrical, or Mechanical Engineering.",Graduate Degree,Scholarship,"$3,000",February
"SMPE Scholastic Student Loan
                                            


                                            Organization:
                                             The Society of Marine Port Engineers of New York 


                                            Purposes:",Bachelor's Degree,Loan,N/A,
"Barriger - Zachary Barriger Memorial Scholarship Fund
                                            


                                            Organization:
                                             Coastal Bend Community Foundation 


                                            Purposes: To provide financial assistance to high school seniors who are planning to pursue a career in engineering or medicine.",Bachelor's Degree,Scholarship,N/A,March
"The United States Department of State, Bureau of Educational &
                                            


                                            Organization:
                                             American Research Center in Egypt 


                                            Purposes: To supported scholars interested in conducting academic research in Egypt on a wide variety of topics.",Professional Development,Fellowship,N/A,January
"The William P. McHugh Memorial Fund
                                            


                                            Organization:
                                             American Research Center in Egypt 


                                            Purposes: To recognize Egyptian dissertation scholars are encouraged to apply.",Graduate Degree,Grant,$600,January
"ARCE Research Associates Fellowship
                                            


                                            Organization:
                                             American Research Center in Egypt 


                                            Purposes: To supported scholars interested in conducting academic research in Egypt on a wide variety of topics.",Graduate Degree  Professional Development,Fellowship,N/A,January
"National Endowment for the Humanities Fellowship
                                            


                                            Organization:
                                             American Research Center in Egypt 


                                            Purposes: To granted to individual scholars pursuing projects that embody exceptional research, rigorous analysis, and clear writing; provide recipients time to conduct research or to produce books, monographs, peer-reviewed articles, e-books, digital materials, tr",Bachelor's Degree  Graduate Degree,Fellowship,N/A,April
"ARCE Funded Fellowships
                                            


                                            Organization:
                                             American Research Center in Egypt 


                                            Purposes: To support and advice that eases access to Egyptian museums, monuments, archaeological sites, research libraries, archives and Egyptian institutions of higher education.",N/A,Fellowship,N/A,
"Marvin Arnold and Irene Jaquetta Heye Scholarship
                                            


                                            Organization:
                                             The San Diego Foundation 


                                            Purposes: To provide financial assistance to graduating high school seniors planning to attend, or current students who are attending California Polytechnic State University-San Luis Obispo.",Bachelor's Degree,Scholarship,N/A,March
"William Pigott Memorial Scholarship
                                            


                                            Organization:
                                             Community Foundation of Northern Illinois 


                                            Purposes: To provide educational resources to individuals pursuing higher education.",Bachelor's Degree,Scholarship,N/A,February
"Duane Hanson Scholarship
                                            


                                            Organization:
                                             American Society of Heating, Refrigerating and Air-Conditioning 


                                            Purposes: To help reduce the financial burdens of obtaining an engineering education.",Bachelor's Degree,Scholarship,"$5,000",December
"Eidson - John R. Eidson Jr.,’38 Scholarship
                                            


                                            Organization:
                                             Coastal Bend Community Foundation 


                                            Purposes: To assist engineering students attending Texas A & M University - College Station.",Bachelor's Degree,Scholarship,N/A,March
"Henry Adams Scholarship
                                            


                                            Organization:
                                             American Society of Heating, Refrigerating and Air-Conditioning 


                                            Purposes: To provide schools accredited programs recognized by ASHRAEof granting a scholarship.",Bachelor's Degree,Scholarship,"$3,000",December
"John G. and Betty J. Mick Scholarship Fund
                                            


                                            Organization:
                                             Stark Community Foundation 


                                            Purposes: To provide scholarship assistance to qualified individuals who want to pursue their studies.",Bachelor's Degree,Scholarship,$500,April
"USA Cargo Trailer Scholarship
                                            


                                            Organization:
                                             USA Cargo Trailer 


                                            Purposes: To assist engineering students in the United States in furthering their educations.",Bachelor's Degree,Scholarship,$500,November
"Aerospace Career Enhancement (ACE) Scholarship
                                            


                                            Organization:
                                             Native Forward Scholars Fund 


                                            Purposes: To provide financial assistance to eligible American Indian and Alaska Native undergraduate and graduate engineering students enrolled full-time at an accredited institution within Washington state’s public higher education systems.",Bachelor's Degree  Graduate Degree,Scholarship,"$5,000",
"AIST Benjamin F. Fairless Scholarship
                                            


                                            Organization:
                                             Association for Iron and Steel Technology 


                                            Purposes: To provide educational assistance for students who wish to pursue their education in metallurgy related fields.",Bachelor's Degree  Graduate Degree,Scholarship,"$3,000",
"Dorothy and Dick Burgess Scholarship
                                            


                                            Organization:
                                             Jackson Community Foundation 


                                            Purposes: To support the pursuit of higher education in Jackson County.",Bachelor's Degree,Scholarship,"$4,000",
"S.N. (Bud) and Gloria Wolbach Scholarship
                                            


                                            Organization:
                                             Greater Grand Island Community Foundation 


                                            Purposes: To support graduating seniors from Hall County High School pursuing undergraduate engineering degrees.",Bachelor's Degree,Scholarship,N/A,
"The Alfred E. Friend, Jr., W4CF Memorial Scholarship
                                            


                                            Organization:
                                             ARRL The National Association for Amateur Radio 


                                            Purposes: To support licensed amateur radio operators pursuing postsecondary education in engineering.",Bachelor's Degree  Graduate Degree,Scholarship,"$5,000",
"American Society of Heating, Refrigerating, and Air-Conditioning
                                            


                                            Organization:
                                             American Society of Heating, Refrigerating and Air-Conditioning 


                                            Purposes: To help reduce the financial burdens of obtaining an engineering education.",Bachelor's Degree,Scholarship,"$5,000",December
"Donald E. Nichols Scholarships
                                            


                                            Organization:
                                             American Society of Heating, Refrigerating and Air-Conditioning 


                                            Purposes: To enable a one-year scholarship available annually to a qualified undergraduate engineering student enrolled full-time at Tennessee technological university.",Bachelor's Degree,Scholarship,"$3,000",December
"Willis H. Carrier Scholarships
                                            


                                            Organization:
                                             American Society of Heating, Refrigerating and Air-Conditioning 


                                            Purposes: To help reduce the financial burdens of obtaining an engineering education.",Bachelor's Degree,Scholarship,"$10,000",December
"Ford Motor Company Undergraduate Scholarship Award
                                            


                                            Organization:
                                             Bourns College of Engineering  Center for Environmental Research and Technology  University of California, Riverside 


                                            Purposes: To encourage and aid undergraduate students in pursuit of careers in engineering.",Bachelor's Degree,Scholarship,"$5,000",
"Channabasappa Memorial Scholarships
                                            


                                            Organization:
                                             International Desalination Association 


                                            Purposes: To encourage engineers and scientists to further their education in subjects related to desalination and water re-use.",Bachelor's Degree  Graduate Degree,Scholarship,"$10,000",October
"The Nexans Canada Inc. Scholarship Award
                                            


                                            Organization:
                                             Electro-Federation Canada 


                                            Purposes: To support Canadian students pursuing careers in electrical fields.",Bachelor's Degree  Vocational,Scholarship,N/A,May
"Louis T. Klauder Scholarship
                                            


                                            Organization:
                                             American Public Transportation Foundation 


                                            Purposes: To provide educational assistance to individuals in public transportation industry-related fields of study.",Graduate Degree,Scholarship,N/A,June
"Reuben Trane Scholarships
                                            


                                            Organization:
                                             American Society of Heating, Refrigerating and Air-Conditioning 


                                            Purposes: To help reduce the financial burdens of obtaining an engineering education.",Bachelor's Degree,Scholarship,"$10,000",December
"Alwin B. Newton Scholarship
                                            


                                            Organization:
                                             American Society of Heating, Refrigerating and Air-Conditioning 


                                            Purposes: To provide named for an industry pioneer, who was granted 219 patents during his lifetime.",Bachelor's Degree,Scholarship,"$5,000",December
"National Board Technical Scholarship
                                            


                                            Organization:
                                             National Board of Boiler and Pressure Vessel Inspectors 


                                            Purposes: To provide financial assistance to children, step-children, grandchildren or great-grandchildren of past or present National Board Commissioned Inspectors (living or deceased) and to past or present National Board employees (living or deceased).",Bachelor's Degree,Scholarship,"$6,000  $12,000",February
"Patricia & Armen Oumedian Scholarship
                                            


                                            Organization:
                                             Grand Rapids Community Foundation 


                                            Purposes: To provide financial support to students who are in need.",Bachelor's Degree,Scholarship,N/A,March
"Jack and Mary Rowe Memorial Scholarship Fund
                                            


                                            Organization:
                                             Duluth Superior Area Community Foundation 


                                            Purposes: To support local students with high academic achievement who are pursuing engineering degrees.",Bachelor's Degree,Scholarship,N/A,
"Jeffrey D. Ralston Memorial Scholarship
                                            


                                            Organization:
                                             NASSCO 


                                            Purposes: To encourage and develop the next generation of underground industry professionals.",Bachelor's Degree,Scholarship,"$2,000",March
"Frank M. Coda Scholarships
                                            


                                            Organization:
                                             American Society of Heating, Refrigerating and Air-Conditioning 


                                            Purposes: To help reduce the financial burdens of obtaining an engineering education.",Bachelor's Degree,Scholarship,"$5,000",December
"Out to Innovate™ Scholarships - BHE Foundation Scholarships
                                            


                                            Organization:
                                             Out to Innovate 


                                            Purposes: To support LGBTQ+ students currently enrolled in Engineering programs.",Associate Degree  Bachelor's Degree  Graduate Degree,Scholarship,"$5,000",
"PNM Everett F. Chavez Memorial Scholarship
                                            


                                            Organization:
                                             Native Forward Scholars Fund 


                                            Purposes: To support students from one of the 19 Pueblo Nations of New Mexico who are pursuing a graduate degree in the field of engineering.",Graduate Degree,Scholarship,N/A,
"John J. Dellas Memorial Scholarship
                                            


                                            Organization:
                                             Jackson Community Foundation 


                                            Purposes: To support Jackson county graduates pursuing undergraduate engineering degrees.",Bachelor's Degree,Scholarship,"$2,000",
"Gauthier Family Scholarship Fund
                                            


                                            Organization:
                                             Grand Haven Area Community Foundation 


                                            Purposes: To support students from the Tri-Cities area pursuing studies in Mechanical or Electrical Engineering.",Bachelor's Degree  High School,Scholarship,N/A,February
"AESF Foundation Scholarships
                                            


                                            Organization:
                                             National Association for Surface Finishing 


                                            Purposes: To enable students to further their studies and future careers in the field of surface finishing.",Bachelor's Degree,Scholarship,"$1,500",
"Frances C. Hidell Scholarship
                                            


                                            Organization:
                                             Association of Desk and Derrick Clubs 


                                            Purposes: To provide financial assistance for college students planning a career in the petroleum energy or allied industries.",Bachelor's Degree,Scholarship,N/A,
"Nancy Lorraine Jensen Memorial Scholarship Fund
                                            


                                            Organization:
                                             Sons of Norway Foundation 


                                            Purposes: To encourage young women to enter the field of science and engineering.",Bachelor's Degree,Scholarship,N/A,March
"AIST Ronald E. Lincoln Memorial Scholarship
                                            


                                            Organization:
                                             Association for Iron and Steel Technology 


                                            Purposes: To support students who are pursuing education in iron- and steel-related industries.",Bachelor's Degree,Scholarship,"$3,000",
"Rice-Cullimore Scholarship
                                            


                                            Organization:
                                             ASME International 


                                            Purposes: To assist students in pursuing educational program in mechanical engineering or mechanical engineering technology.",Graduate Degree,Scholarship,"$2,000",
"Elisabeth M. and Winchell M. Parsons Scholarship
                                            


                                            Organization:
                                             ASME International 


                                            Purposes: To assist students in pursuing educational program in mechanical engineering or mechanical engineering technology.",Graduate Degree,Scholarship,"$3,000",March
"ANS Incoming College Freshman Scholarship
                                            


                                            Organization:
                                             American Nuclear Society 


                                            Purposes: To assist students who wish to complete their post-secondary education and prepare for careers in nuclear science and technology (NS&T).",Bachelor's Degree,Scholarship,"$1,000",April
"Hertz Foundation Graduate Fellowship Award
                                            


                                            Organization:
                                             The Hertz Foundation 


                                            Purposes: To support the students of the applied physical, biological and engineering science who are willing to morally commit to make their skills available in time of national emergency.",Graduate Degree,Fellowship,"$6,000  $32,000  $38,000",October
"Archie Bruce Scholarship
                                            


                                            Organization:
                                             The Yukon Foundation 


                                            Purposes: To help students in the Yukon pursue college degrees in engineering or the sciences.",Bachelor's Degree  Vocational,Scholarship,N/A,June
"UAA Quanterra Scholarship
                                            


                                            Organization:
                                             University of Alaska Anchorage 


                                            Purposes: To provide financial assistance to students who are formally admitted to an engineering or science degree-seeking program at the University of Alaska Anchorage.",Graduate Degree,Scholarship,N/A,
"David C. Lizárraga Fellowship
                                            


                                            Organization:
                                             Telacu 


                                            Purposes: To support students pursuing advanced degrees in business or engineering.",Bachelor's Degree,Fellowship,N/A,May
"Minnesota Section, Society of Mining Metallurgy and Exploration
                                            


                                            Organization:
                                             Duluth Superior Area Community Foundation 


                                            Purposes: To support students pursuing undergraduate studies in engineering or geology at a Minnesota college or university.",Bachelor's Degree,Scholarship,N/A,
"ASDSO Undergraduate Scholarship
                                            


                                            Organization:
                                             Association of State Dam Safety Officials 


                                            Purposes: To reward excellence in the study of civil engineering and related fields, and to make students more aware of dam safety as a career opportunity.",Bachelor's Degree,Scholarship,"$5,000  $10,000",
"AIST Midwest Member Chapter - Don Nelson Scholarship
                                            


                                            Organization:
                                             Association for Iron and Steel Technology 


                                            Purposes: To provide educational assistance to engineering students.",Bachelor's Degree,Scholarship,"$3,000",January
"Auxiliary Undergraduate Scholarships
                                            


                                            Organization:
                                             ASME International 


                                            Purposes: To provide scholarships and new developments in Mechanical Engineering; to honor students who demonstrate outstanding personal and academic characteristics.",Bachelor's Degree,Scholarship,N/A,
